450.0, 512.0, 476.0, 554.0, 438.0, 570.0, 430.0, 618.0, 0, 0, 508.0, 544.0, 0, 0, 0, 0, 448.0, 728.0, 450.0, 830.0, 452.0, 942.0, 506.0, 734.0, 504.0, 822.0, 498.0, 938.0, 440.0, 504.0, 458.0, 500.0, 0, 0, 482.0, 492.0
444.0, 510.0, 472.0, 550.0, 428.0, 562.0, 0, 0, 0, 0, 520.0, 544.0, 0, 0, 0, 0, 444.0, 726.0, 446.0, 828.0, 450.0, 950.0, 508.0, 726.0, 506.0, 822.0, 456.0, 952.0, 434.0, 504.0, 452.0, 498.0, 0, 0, 476.0, 486.0
480.0, 508.0, 476.0, 552.0, 426.0, 564.0, 0, 0, 0, 0, 530.0, 544.0, 556.0, 608.0, 0, 0, 442.0, 740.0, 452.0, 856.0, 452.0, 950.0, 510.0, 740.0, 496.0, 838.0, 496.0, 978.0, 466.0, 500.0, 482.0, 498.0, 438.0, 500.0, 492.0, 492.0
510.0, 510.0, 492.0, 552.0, 442.0, 558.0, 416.0, 640.0, 402.0, 734.0, 548.0, 548.0, 562.0, 612.0, 594.0, 658.0, 446.0, 738.0, 444.0, 838.0, 452.0, 936.0, 522.0, 732.0, 516.0, 838.0, 500.0, 984.0, 498.0, 498.0, 516.0, 500.0, 474.0, 490.0, 0, 0
548.0, 504.0, 514.0, 550.0, 462.0, 554.0, 0, 0, 0, 0, 562.0, 546.0, 566.0, 618.0, 616.0, 658.0, 466.0, 734.0, 454.0, 828.0, 444.0, 912.0, 536.0, 742.0, 522.0, 864.0, 500.0, 990.0, 542.0, 492.0, 554.0, 496.0, 506.0, 478.0, 0, 0
0, 0, 502.0, 530.0, 540.0, 536.0, 0, 0, 0, 0, 450.0, 542.0, 444.0, 604.0, 0, 0, 0, 0, 0, 0, 0, 0, 516.0, 764.0, 0, 0, 0, 0, 0, 0, 0, 0, 518.0, 460.0, 470.0, 474.0
0, 0, 496.0, 532.0, 532.0, 536.0, 0, 0, 0, 0, 452.0, 540.0, 450.0, 606.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 512.0, 458.0, 466.0, 476.0
0, 0, 494.0, 538.0, 530.0, 544.0, 0, 0, 0, 0, 452.0, 542.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 514.0, 468.0, 466.0, 480.0
0, 0, 494.0, 540.0, 528.0, 546.0, 0, 0, 0, 0, 454.0, 540.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 488.0, 748.0, 470.0, 842.0, 486.0, 996.0, 0, 0, 0, 0, 510.0, 472.0, 464.0, 478.0
0, 0, 492.0, 538.0, 526.0, 540.0, 0, 0, 0, 0, 454.0, 544.0, 446.0, 630.0, 400.0, 704.0, 0, 0, 0, 0, 0, 0, 496.0, 744.0, 472.0, 844.0, 488.0, 990.0, 0, 0, 0, 0, 0, 0, 458.0, 480.0
442.0, 492.0, 494.0, 538.0, 528.0, 540.0, 0, 0, 0, 0, 454.0, 544.0, 444.0, 628.0, 0, 0, 0, 0, 0, 0, 0, 0, 496.0, 742.0, 474.0, 840.0, 492.0, 996.0, 0, 0, 444.0, 484.0, 504.0, 470.0, 460.0, 478.0
444.0, 496.0, 494.0, 534.0, 522.0, 528.0, 0, 0, 0, 0, 460.0, 546.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500.0, 744.0, 478.0, 844.0, 490.0, 998.0, 0, 0, 444.0, 488.0, 504.0, 466.0, 460.0, 480.0
446.0, 494.0, 500.0, 536.0, 528.0, 534.0, 0, 0, 0, 0, 468.0, 546.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 502.0, 746.0, 478.0, 856.0, 490.0, 996.0, 0, 0, 446.0, 486.0, 0, 0, 460.0, 478.0
444.0, 496.0, 500.0, 538.0, 512.0, 530.0, 0, 0, 0, 0, 480.0, 550.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 506.0, 744.0, 478.0, 858.0, 490.0, 998.0, 0, 0, 446.0, 488.0, 0, 0, 464.0, 478.0
430.0, 500.0, 496.0, 534.0, 504.0, 526.0, 0, 0, 0, 0, 488.0, 544.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 502.0, 732.0, 508.0, 934.0, 494.0, 992.0, 0, 0, 434.0, 488.0, 0, 0, 468.0, 478.0
422.0, 498.0, 490.0, 542.0, 464.0, 550.0, 0, 0, 0, 0, 506.0, 544.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 508.0, 778.0, 502.0, 856.0, 498.0, 994.0, 0, 0, 426.0, 486.0, 0, 0, 468.0, 476.0
404.0, 498.0, 464.0, 546.0, 436.0, 570.0, 0, 0, 0, 0, 490.0, 542.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 468.0, 762.0, 0, 0, 0, 0, 400.0, 488.0, 412.0, 486.0, 0, 0, 450.0, 476.0
366.0, 490.0, 422.0, 536.0, 382.0, 522.0, 0, 0, 0, 0, 460.0, 536.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 372.0, 476.0, 0, 0, 412.0, 468.0
320.0, 482.0, 374.0, 520.0, 336.0, 514.0, 0, 0, 0, 0, 410.0, 526.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 314.0, 472.0, 328.0, 470.0, 0, 0, 368.0, 462.0
